SETOR ECONoMICO;SUBSETOR;SEGMENTO;SEGMENTO;codigo;tipo;papel 
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;COSAN       ;CSAN;NM             ;CSNA3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;DOMMO;DMMO;;DMMO3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;ENAUTA PART;ENAT;NM             ;ENAT3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PET MANGUINH;RPMG;;RPMG3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PETROBRAS   ;PETR;N2;PETR4
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PETROBRAS BR;BRDT;NM             ;BRDT3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;PETRORIO;PRIO;NM             ;PRIO3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Exploracao, Refino e Distribuicao;ULTRAPAR    ;UGPA;NM             ;UGPA3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Equipamentos e Servicos;LUPATECH    ;LUPA;NM             ;LUPA3
Petroleo, Gas e Biocombustiveis;Petroleo, Gas e Biocombustiveis;Equipamentos e Servicos;OSX BRASIL  ;OSXB;NM             ;OSXB3
Materiais Basicos;Mineracao;Minerais Metalicos;BRADESPAR   ;BRAP;N1             ;BRAP4
Materiais Basicos;Mineracao;Minerais Metalicos;LITEL       ;LTEL;MB             ;NA
Materiais Basicos;Mineracao;Minerais Metalicos;MMX MINER   ;MMXM;NM             ;MMXM3
Materiais Basicos;Mineracao;Minerais Metalicos;VALE        ;VALE;NM             ;VALE3
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;FERBASA     ;FESA;N1             ;FESA4
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;GERDAU      ;GGBR;N1             ;GGBR4
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;GERDAU MET  ;GOAU;N1             ;GOAU4
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;SID NACIONAL;CSNA;;CSNA3
Materiais Basicos;Siderurgia e Metalurgia;Siderurgia;USIMINAS    ;USIM;N1             ;USIM5
